drug,targets,moa-broad,moa-fine,human-approved,clinical-trials,gpt-notes-approval,canonical_smiles,pubchem_cid
Allantoin,,unclear,unclear,yes,yes,Allantoin is approved as a skin protectant by the FDA.,C1(C(=O)NC(=O)N1)NC(=O)N,204.0
5-Fluorouracil,TYMS,inhibitor/antagonist,DNA synthesis/repair inhibitor,yes,yes,Widely used chemotherapy drug. Approved for cancer treatment.,C1=C(C(=O)NC(=O)N1)F,3385.0
L-Thyroxine (sodium salt pentahydrate),,unclear,unclear,yes,yes,"Approved for hypothyroidism, a form of standard thyroid hormone replacement therapy.",C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)CC(C(=O)[O-])N.O.O.O.O.O.[Na+],23665037.0
Gallic acid,,inhibitor/antagonist,Cyclooxygenase inhibitor,no,yes,"Used in supplements, studied for antioxidant properties.",C1=C(C=C(C(=C1O)O)O)C(=O)O,370.0
Gallic acid (hydrate),,inhibitor/antagonist,Cyclooxygenase inhibitor,no,yes,Evaluated in trials but not approved as a standalone drug.,C1=C(C=C(C(=C1O)O)O)C(=O)O.O,24721416.0
ERK5-IN-2,MAPK7,inhibitor/antagonist,Other MAPK inhibitor,no,no,Not found in clinicaltrials.gov database as of the latest available data.,C1=CC(=C(C(=C1)Br)C(=O)C2=CNC(=C2)C(=O)NC3=CN=CC=C3)F,118959080.0
Vilanterol,ADRB2,activator/agonist,Adrenoceptor agonist,yes,yes,Combined with fluticasone furoate for asthma and COPD treatment.,C1=CC(=C(C(=C1)Cl)COCCOCCCCCCNCC(C2=CC(=C(C=C2)O)CO)O)Cl,10184665.0
Niclosamide (olamine),STAT3,inhibitor/antagonist,unclear,yes,yes,"Approved for parasitic infections, investigated for other uses.",C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O.C(CO)N,14992.0
Norepinephrine (hydrochloride),"ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, ADRB1",activator/agonist,Adrenoceptor agonist,yes,yes,Approved for human use as a medication to treat low blood pressure.,C1=CC(=C(C=C1C(CN)O)O)O.Cl,11672905.0
Triclosan,,inhibitor/antagonist,unclear,no,yes,Banned in soaps; used in some consumer products and healthcare settings.,C1=CC(=C(C=C1Cl)O)OC2=C(C=C(C=C2)Cl)Cl,5564.0
Mitoxantrone (dihydrochloride),"TOP2A, TOP2B, PRKCA",inhibitor/antagonist,DNA synthesis/repair inhibitor,yes,yes,Approved for cancer and multiple sclerosis treatment.,C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO.Cl.Cl,51082.0
Pentamidine (isethionate),PRLR,inhibitor/antagonist,unclear,yes,yes,Used to treat Pneumocystis pneumonia and African trypanosomiasis.,C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N.C(CS(=O)(=O)O)O.C(CS(=O)(=O)O)O,8813.0
Folic acid,,unclear,unclear,yes,yes,Widely used as a dietary supplement and in fortified foods.,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N,135398658.0
Balsalazide (sodium hydrate),"IL6, STAT3",unclear,JAK/STAT inhibitor,yes,yes,Used for ulcerative colitis treatment in humans.,C1=CC(=CC=C1C(=O)NCCC(=O)[O-])N=NC2=CC(=C(C=C2)[O-])C(=O)O.O.O.[Na+].[Na+],92044433.0
Resveratrol,SIRT1,unclear,unclear,no,yes,"Studies showed promising results, but no approval for therapeutic use.",C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O,445154.0
PF-06260933,MAP4K4,inhibitor/antagonist,Other MAPK inhibitor,no,yes,Investigated for treating pain; not approved for human use.,C1=CC(=CC=C1C2=C(N=CC(=C2)C3=CN=C(C=C3)N)N)Cl,118701008.0
Daidzin,ALDH2,inhibitor/antagonist,unclear,no,yes,investigated for alcoholism; not approved for treatment,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)OC4C(C(C(C(O4)CO)O)O)O)O,107971.0
Pemetrexed,"TYMS, DHFR, GART",inhibitor/antagonist,DNA synthesis/repair inhibitor,yes,yes,Chemotherapy drug for mesothelioma and non-small cell lung cancer.,C1=CC(=CC=C1CCC2=CNC3=C2C(=O)NC(=N3)N)C(=O)NC(CCC(=O)O)C(=O)O,135410875.0
Econazole,,unclear,unclear,yes,yes,Antifungal approved for dermatological use.,C1=CC(=CC=C1COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl,3198.0
XRK3F2,,inhibitor/antagonist,unclear,no,no,No results found on clinicaltrials.gov,C1=CC(=CC=C1COC2=C(C=C(C=C2)CNCCO)OCC3=CC=C(C=C3)F)F.Cl,135397144.0
Arbutin,"MYC, KLF4",inhibitor/antagonist,unclear,no,yes,"Used in cosmetics, trials for skin-lightening, not approved as a drug.",C1=CC(=CC=C1O)OC2C(C(C(C(O2)CO)O)O)O,440936.0
Tucidinostat,"HDAC1, HDAC2, HDAC3, HDAC10, HDAC8, HDAC11",inhibitor/antagonist,HDAC inhibitor,yes,yes,Approved for use in China for certain cancers.,C1=CC(=CN=C1)C=CC(=O)NCC2=CC=C(C=C2)C(=O)NC3=C(C=C(C=C3)F)N,12136798.0
Pexidartinib (hydrochloride),"CSF1R, KIT, FLT3",inhibitor/antagonist,Multi-TK inhibitor,yes,yes,Approved for tenosynovial giant cell tumor in 2019.,C1=CC(=NC=C1CC2=CNC3=C2C=C(C=N3)Cl)NCC4=CN=C(C=C4)C(F)(F)F.Cl,73053710.0
Sodium Salicylate,PTGS2,inhibitor/antagonist,Cyclooxygenase inhibitor,no,yes,"Used in studies, NSAID-related research, not approved for standard human therapy.",C1=CC=C(C(=C1)C(=O)[O-])O.[Na+],16760658.0
Salicylic acid,,inhibitor/antagonist,Cyclooxygenase inhibitor,yes,yes,Used topically for acne and in aspirin synthesis.,C1=CC=C(C(=C1)C(=O)O)O,338.0
Ataluren,CFTR,inhibitor/antagonist,unclear,yes,yes,For Duchenne muscular dystrophy with specific genetic mutation.,C1=CC=C(C(=C1)C2=NC(=NO2)C3=CC(=CC=C3)C(=O)O)F,11219835.0
4EGI-1,EIF4E,inhibitor/antagonist,Protein synthesis inhibitor,no,no,No clinical trials found for 4EGI-1 on clinicaltrials.gov.,C1=CC=C(C(=C1)CC(=NNC2=NC(=CS2)C3=CC(=C(C=C3)Cl)Cl)C(=O)O)[N+](=O)[O-],5717952.0
Clotrimazole,"CYP2A6, CYP51A1",inhibitor/antagonist,unclear,yes,yes,Antifungal used in topical and oral preparations.,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4,2812.0
Phenytoin (sodium),,inhibitor/antagonist,unclear,yes,yes,Commonly used as an anti-seizure medication.,C1=CC=C(C=C1)C2(C(=O)NC(=N2)[O-])C3=CC=CC=C3.[Na+],23679632.0
SBI-0640756,,inhibitor/antagonist,Protein synthesis inhibitor,no,no,No record found on clinicaltrials.gov.,C1=CC=C(C=C1)C2=C(C(=O)NC3=C2C=C(C=C3)Cl)C(=O)C=CC4=CC(=CN=C4)F,121241171.0
Oxaprozin,"PTGS1, PTGS2, NFKB1",inhibitor/antagonist,Cyclooxygenase inhibitor,yes,yes,Approved NSAID for arthritis treatment.,C1=CC=C(C=C1)C2=C(OC(=N2)CCC(=O)O)C3=CC=CC=C3,4614.0
Baicalin,,activator/agonist,unclear,no,yes,"Used in traditional medicine, researched for various pharmacological effects.",C1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O,64982.0
Belinostat,HDAC6,inhibitor/antagonist,HDAC inhibitor,yes,yes,Approved for relapsed/refractory peripheral T-cell lymphoma.,C1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)C=CC(=O)NO,6918638.0
Carbamazepine,,inhibitor/antagonist,HDAC inhibitor,yes,yes,Used for epilepsy and neuropathic pain.,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,2554.0
HI-TOPK-032,PBK,inhibitor/antagonist,unclear,no,no,No results found on clinicaltrials.gov.,C1=CC=C2C(=C1)N=C3C(=C4C=C(C=CN4C3=N2)NC(=O)C5=CC=CS5)C#N,1936439.0
8-Hydroxyquinoline,,unclear,unclear,no,yes,"Used in some clinical trial formulations, not approved as standalone drug.",C1=CC2=C(C(=C1)O)N=CC=C2,1923.0
Riluzole hydrochloride,,inhibitor/antagonist,unclear,yes,yes,Used in ALS treatment.,C1=CC2=C(C=C1OC(F)(F)F)SC(=N2)N.Cl,6419992.0
Minodronic acid,"P2RX2, P2RX3",inhibitor/antagonist,unclear,no,yes,Investigated for osteoporosis; not approved in major markets.,C1=CC2=NC=C(N2C=C1)CC(O)(P(=O)(O)O)P(=O)(O)O,130956.0
GSK1059615,"PIK3CA, PIK3CB, PIK3CD, PIK3CG, MTOR",inhibitor/antagonist,PI3K/AKT inhibitor,no,yes,"Investigated in trials, not approved for human use.",C1=CC2=NC=CC(=C2C=C1C=C3C(=O)NC(=O)S3)C4=CC=NC=C4,23582824.0
Gemcitabine,,inhibitor/antagonist,DNA synthesis/repair inhibitor,yes,yes,Approved for cancer treatment like pancreatic and non-small cell lung cancer.,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F,60750.0
Cytarabine,,inhibitor/antagonist,DNA synthesis/repair inhibitor,yes,yes,Used in chemotherapy for leukemia and other cancers.,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,6253.0
Cytarabine (hydrochloride),,inhibitor/antagonist,DNA synthesis/repair inhibitor,yes,yes,Used in chemotherapy for leukemia and lymphoma.,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O.Cl,6252.0
Uridine,,unclear,unclear,no,yes,"Studied in trials; not approved as standalone drug, essential body metabolite.",C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)O,6029.0
Selinexor,XPO1,inhibitor/antagonist,unclear,yes,yes,Approved for certain cancer treatments.,C1=CN=C(C=N1)NNC(=O)C=CN2C=NC(=N2)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F,71481097.0
Furosemide,"SLC12A1, SLC12A2",inhibitor/antagonist,unclear,yes,yes,"Widely used diuretic, approved for various conditions like hypertension and edema.",C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,3440.0
Adenosine,"ADORA1, ADORA2A, ADORA2B, ADORA3",unclear,unclear,yes,yes,Used for certain arrhythmias; approved as a drug.,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N,60961.0
5-Azacytidine,DNMT1,inhibitor/antagonist,DNA methyltransferase inhibitor,yes,yes,"Approved for use in specific cancers, such as myelodysplastic syndromes.",C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N,9444.0
Clofarabine,,inhibitor/antagonist,DNA synthesis/repair inhibitor,yes,yes,Approved for leukemia treatment in pediatric patients.,C1=NC2=C(N=C(N=C2N1C3C(C(C(O3)CO)O)F)Cl)N,119182.0
Adenine,,unclear,unclear,no,no,Commonly found in supplements; not a drug approved by itself.,C1=NC2=NC=NC(=C2N1)N,190.0
Allopurinol,XDH,inhibitor/antagonist,unclear,yes,yes,"Approved for gout treatment, reduces uric acid levels.",C1=NNC2=C1C(=O)NC=N2,135401907.0
Trifluridine,,inhibitor/antagonist,DNA synthesis/repair inhibitor,yes,yes,Used to treat viral infections and in cancer therapy (with tipiracil).,C1C(C(OC1N2C=C(C(=O)NC2=O)C(F)(F)F)CO)O,6256.0
Brivudine,,unclear,unclear,yes,yes,"Approved in Europe, not widely used in the US.",C1C(C(OC1N2C=C(C(=O)NC2=O)C=CBr)CO)O,446727.0
Idoxuridine,,unclear,DNA synthesis/repair inhibitor,yes,yes,Used as topical antiviral in eye infections. Approved for human use.,C1C(C(OC1N2C=C(C(=O)NC2=O)I)CO)O,5905.0
Decitabine,"DNMT1, DNMT3A, DNMT3B",inhibitor/antagonist,DNA methyltransferase inhibitor,yes,yes,Approved for treatment of myelodysplastic syndromes and acute myeloid leukemia.,C1C(C(OC1N2C=NC(=NC2=O)N)CO)O,451668.0
Lenalidomide (hemihydrate),"CRBN, IKZF1, IKZF3",inhibitor/antagonist,unclear,yes,yes,Approved for multiple myeloma and other conditions.,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N.C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N.O,46220375.0
DT-061,,activator/agonist,unclear,no,yes,"Investigated for oncology, no approval yet for human use.",C1CC(C(C(C1)N2C3=CC=CC=C3OC4=CC=CC=C42)O)NS(=O)(=O)C5=CC=C(C=C5)OC(F)(F)F,91885558.0
BAY1125976,"AKT1, AKT2, AKT3",inhibitor/antagonist,PI3K/AKT inhibitor,no,yes,Cancer treatment trials but not approved for human use.,C1CC(C1)(C2=CC=C(C=C2)C3=C(N4C(=N3)C=CC(=N4)C(=O)N)C5=CC=CC=C5)N,70817911.0
Larotrectinib,"NTRK1, NTRK2, NTRK3",inhibitor/antagonist,Other TK inhibitor,yes,yes,Approved specifically as a cancer treatment for tumors with NTRK gene fusions.,C1CC(N(C1)C2=NC3=C(C=NN3C=C2)NC(=O)N4CCC(C4)O)C5=C(C=CC(=C5)F)F,46188928.0
Larotrectinib sulfate,"NTRK1, NTRK2, NTRK3",inhibitor/antagonist,Other TK inhibitor,yes,yes,Larotrectinib sulfate is approved to treat TRK fusion-positive cancers.,C1CC(N(C1)C2=NC3=C(C=NN3C=C2)NC(=O)N4CCC(C4)O)C5=C(C=CC(=C5)F)F.OS(=O)(=O)O,67330085.0
olaparib,"PARP1, PARP2",unclear,DNA synthesis/repair inhibitor,yes,yes,Approved for BRCA-mutated cancers.,C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F,23725625.0
Filgotinib,"JAK1, JAK2, TYK2, JAK3",inhibitor/antagonist,JAK/STAT inhibitor,yes,yes,Approved in Japan and EU for rheumatoid arthritis.,C1CC1C(=O)NC2=NN3C(=N2)C=CC=C3C4=CC=C(C=C4)CN5CCS(=O)(=O)CC5,49831257.0
ULK-101,"ULK1, ULK2",inhibitor/antagonist,unclear,no,no,No clinical trial data found on clinicaltrials.gov.,C1CC1C(C(F)(F)F)NC(=O)C2=CC(=CS2)C3=C4N=CC(=CN4N=C3)C5=CC=C(C=C5)F,137628686.0
Oxaliplatin,,inhibitor/antagonist,DNA synthesis/repair inhibitor,yes,yes,Approved for use in chemotherapy treatments.,C1CCC(C(C1)[NH-])[NH-].C(=O)(C(=O)O)O.[Pt+2],9887053.0
Cilostazol,PDE3A,inhibitor/antagonist,unclear,yes,yes,Used to treat intermittent claudication associated with peripheral artery disease.,C1CCC(CC1)N2C(=NN=N2)CCCCOC3=CC4=C(C=C3)NC(=O)CC4,2754.0
LY2090314,"GSK3B, GSK3A",inhibitor/antagonist,GSK3 inhibitor,no,yes,Investigated for Alzheimer's; not approved for any condition.,C1CCN(CC1)C(=O)N2CCN3C=C(C4=CC(=CC(=C43)C2)F)C5=C(C(=O)NC5=O)C6=CN=C7N6C=CC=C7,10029385.0
Cobimetinib,MAP2K1,inhibitor/antagonist,MEK inhibitor,yes,yes,Approved for melanoma in combination with vemurafenib.,C1CCNC(C1)C2(CN(C2)C(=O)C3=C(C(=C(C=C3)F)F)NC4=C(C=C(C=C4)I)F)O,16222096.0
Asciminib,ABL1,inhibitor/antagonist,Other TK inhibitor,yes,yes,Approved for chronic myeloid leukemia (CML) treatment.,C1CN(CC1O)C2=C(C=C(C=N2)C(=O)NC3=CC=C(C=C3)OC(F)(F)Cl)C4=CC=NN4,72165228.0
Capivasertib,"AKT1, AKT2, AKT3, RPS6KB1, PRKACA, ROCK2, ROCK1",inhibitor/antagonist,PI3K/AKT inhibitor,no,yes,In clinical trials for cancer. Not yet approved for human use.,C1CN(CCC1(C(=O)NC(CCO)C2=CC=C(C=C2)Cl)N)C3=NC=NC4=C3C=CN4,25227436.0
Penfluridol,DRD2,inhibitor/antagonist,unclear,yes,yes,Long-acting antipsychotic drug approved for human use.,C1CN(CCC1(C2=CC(=C(C=C2)Cl)C(F)(F)F)O)CCCC(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F,33630.0
Lonafarnib,"HRAS, KRAS, NRAS",inhibitor/antagonist,RAS inhibitor,yes,yes,Approved for progeria treatment in children.,C1CN(CCC1CC(=O)N2CCC(CC2)C3C4=C(CCC5=C3N=CC(=C5)Br)C=C(C=C4Br)Cl)C(=O)N,148195.0
Pimozide,"DRD2, DRD3",inhibitor/antagonist,unclear,yes,yes,Approved antipsychotic used mainly for Tourette's syndrome and chronic schizophrenia.,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,16362.0
Clonidine (hydrochloride),"ADRA2A, ADRA2B, ADRA2C",activator/agonist,Adrenoceptor agonist,yes,yes,Used for hypertension and ADHD among other conditions.,C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl.Cl,20179.0
Brimonidine,"ADRA2A, ADRA2B, ADRA2C",activator/agonist,Adrenoceptor agonist,yes,yes,Used in the form of brimonidine tartrate for glaucoma treatment.,C1CN=C(N1)NC2=C(C3=NC=CN=C3C=C2)Br,2435.0
AT7519,"CDK2, CDK4, CDK5, CDK6, CDK9, CDK1, CDK7, GSK3B",inhibitor/antagonist,CDK inhibitor,no,yes,Tested in trials for cancer treatments.,C1CNCCC1NC(=O)C2=C(C=NN2)NC(=O)C3=C(C=CC=C3Cl)Cl,11338033.0
Hydroxyfasudil,"ROCK1, ROCK2, PRKACA",inhibitor/antagonist,unclear,no,yes,"Studied for therapeutic potential; derivative of fasudil, which is approved.",C1CNCCN(C1)S(=O)(=O)C2=CC=CC3=C2C=CNC3=O,3064778.0
BI-78D3,,inhibitor/antagonist,Other MAPK inhibitor,no,yes,"Investigated for Alzheimer's and inflammatory diseases, not approved for human use.",C1COC2=C(O1)C=CC(=C2)N3C(=O)NN=C3SC4=NC=C(S4)[N+](=O)[O-],2747117.0
ETC-206,,inhibitor/antagonist,Protein synthesis inhibitor,no,yes,"Investigational drug for cancer, not yet approved for human use.",C1COCCN1C(=O)C2=CC=C(C=C2)C3=CN4C(=NC=C4C5=CC=C(C=C5)C#N)C=C3,71766360.0
LJI308,"RPS6KA1, RPS6KA3, RPS6KA2",inhibitor/antagonist,Other MAPK inhibitor,no,yes,"Investigational compound, not approved for human use as a drug.",C1COCCN1C2=CC=C(C=C2)C3=C(C=NC=C3)C4=CC(=C(C(=C4)F)O)F,118704762.0
Bimiralisib,"PIK3CA, PIK3CB, MTOR",inhibitor/antagonist,PI3K/AKT inhibitor,no,yes,Investigational PI3K/mTOR inhibitor; not approved for human use as of 2023.,C1COCCN1C2=NC(=NC(=N2)C3=CN=C(C=C3C(F)(F)F)N)N4CCOCC4,58507717.0
Bentamapimod,"MAPK8, MAPK9, MAPK10",inhibitor/antagonist,Other MAPK inhibitor,no,yes,Investigated for ovarian cancer; not approved for human use.,C1COCCN1CC2=CC=C(C=C2)COC3=NC=CC(=N3)C(C#N)C4=NC5=CC=CC=C5S4,10195250.0
Lipoic acid,,unclear,unclear,yes,yes,"Approved as dietary supplement, not as a drug for specific indications.",C1CSSC1CCCCC(=O)O,6112.0
Peretinoin,"RXRA, RXRB, RXRG",unclear,Retinoic receptor agonist,no,yes,"Studied for liver cancer, not approved for human use.",CC(=CCCC(=CCCC(=CC=CC(=CC(=O)O)C)C)C)C,6437836.0
IQ 1,,unclear,unclear,no,yes,Investigational drug; not approved for human use yet.,CC(=O)C1=CC=C(C=C1)NN=C(C2=NC(CC3=CC=CC=C32)(C)C)C(=O)N,5823908.0
Acetohexamide,,activator/agonist,unclear,yes,yes,"First-generation sulfonylurea, used for type 2 diabetes treatment.",CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2,1989.0
Pentoxifylline,,inhibitor/antagonist,unclear,yes,yes,Used to improve blood flow in peripheral artery disease.,CC(=O)CCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C,4740.0
DTP3,,inhibitor/antagonist,unclear,no,yes,Currently being investigated in clinical trials in the UK.,CC(=O)NC(CC1=CC=C(C=C1)O)C(=O)NC(CCCN=C(N)N)C(=O)NC(CC2=CC=CC=C2)C(=O)N,86295191.0
Acetazolamide,,inhibitor/antagonist,unclear,yes,yes,"Used to treat glaucoma, epilepsy, and altitude sickness since 1950s.",CC(=O)NC1=NN=C(S1)S(=O)(=O)N,1986.0
Pasireotide (acetate),"SSTR1, SSTR2, SSTR3, SSTR5",activator/agonist,unclear,yes,yes,Approved for Cushing's disease and acromegaly.,CC(=O)O.C1C(CN2C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C2=O)CC3=CC=CC=C3)CC4=CC=C(C=C4)OCC5=CC=CC=C5)CCCCN)CC6=CNC7=CC=CC=C76)C8=CC=CC=C8)OC(=O)NCCN,72205932.0
Chlorhexidine (diacetate),,unclear,unclear,yes,yes,Used as antiseptic and disinfectant. Approved for human use.,CC(=O)O.CC(=O)O.C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl,9562059.0
Aspirin,"PTGS1, PTGS2",inhibitor/antagonist,Cyclooxygenase inhibitor,yes,yes,Used widely for pain relief and anti-inflammatory purposes.,CC(=O)OC1=CC=CC=C1C(=O)O,2244.0
Abiraterone acetate,CYP17A1,inhibitor/antagonist,unclear,yes,yes,Approved for prostate cancer treatment.,CC(=O)OC1CCC2(C3CCC4(C(C3CC=C2C1)CC=C4C5=CN=CC=C5)C)C,9821849.0
Sivelestat (sodium tetrahydrate),ELANE,inhibitor/antagonist,unclear,no,yes,"Approved in Japan, not approved in US/EU.",CC(C)(C)C(=O)OC1=CC=C(C=C1)S(=O)(=O)NC2=CC=CC=C2C(=O)NCC(=O)[O-].O.O.O.O.[Na+],23663985.0
Atazanavir (sulfate),CYP3A4,inhibitor/antagonist,unclear,yes,yes,"Antiretroviral, approved for HIV treatment.",CC(C)(C)C(C(=O)NC(CC1=CC=CC=C1)C(CN(CC2=CC=C(C=C2)C3=CC=CC=N3)NC(=O)C(C(C)(C)C)NC(=O)OC)O)NC(=O)OC.OS(=O)(=O)O,158550.0
Terfenadine,HRH1,inhibitor/antagonist,unclear,no,yes,Withdrawn due to cardiac toxicity; replaced by fexofenadine.,CC(C)(C)C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O,5405.0
Bosentan (hydrate),"EDNRA, EDNRB",inhibitor/antagonist,unclear,yes,yes,Approved for treating pulmonary arterial hypertension.,CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)NC2=C(C(=NC(=N2)C3=NC=CC=N3)OCCO)OC4=CC=CC=C4OC.O,185462.0
Dabrafenib,"BRAF, RAF1",inhibitor/antagonist,RAF inhibitor,yes,yes,Approved for melanoma treatment.,CC(C)(C)C1=NC(=C(S1)C2=NC(=NC=C2)N)C3=C(C(=CC=C3)NS(=O)(=O)C4=C(C=CC=C4F)F)F,44462760.0
Ralimetinib dimesylate,"MAPKAPK2, MAPK14, MAPK11",inhibitor/antagonist,Other MAPK inhibitor,no,yes,Investigated as cancer treatment; not approved for human use.,CC(C)(C)CN1C2=C(C=CC(=N2)C3=C(N=C(N3)C(C)(C)C)C4=CC=C(C=C4)F)N=C1N.CS(=O)(=O)O.CS(=O)(=O)O,11570805.0
Saquinavir,,inhibitor/antagonist,unclear,yes,yes,Approved as part of antiretroviral therapy for HIV/AIDS.,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(C(CC3=CC=CC=C3)NC(=O)C(CC(=O)N)NC(=O)C4=NC5=CC=CC=C5C=C4)O,441243.0
Pentagastrin,CCKBR,inhibitor/antagonist,unclear,yes,yes,Used mainly in diagnostic tests for gastric functions.,CC(C)(C)OC(=O)NCCC(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CCSC)C(=O)NC(CC(=O)O)C(=O)NC(CC3=CC=CC=C3)C(=O)N,9853654.0
Anastrozole,CYP19A1,inhibitor/antagonist,unclear,yes,yes,Used to treat breast cancer in postmenopausal women.,CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N,2187.0
Harringtonine,,unclear,Protein synthesis inhibitor,no,yes,"Investigated in trials mainly for cancer treatment, often used as basis for derivatives.",CC(C)(CCC(CC(=O)OC)(C(=O)OC1C2C3=CC4=C(C=C3CCN5C2(CCC5)C=C1OC)OCO4)O)O,276389.0
Homoharringtonine,,inhibitor/antagonist,Protein synthesis inhibitor,yes,yes,"Used in leukemia treatment, also known as Omacetaxine.",CC(C)(CCCC(CC(=O)OC)(C(=O)OC1C2C3=CC4=C(C=C3CCN5C2(CCC5)C=C1OC)OCO4)O)O,285033.0
