drug,n_contexts,n_pairs,conserved,context,cdi,total_effect,key,moa-fine
TGX 221,6,18,0.07170137017965317,0.0,0.0,0.07170137017965317,tgx221,
TIE2 Kinase Inhibitor,6,18,0.046198584139347076,0.0,0.0,0.046198584139347076,tie2kinaseinhibitor,
TL_HRAS26,6,18,0.04987582564353943,0.0,0.0,0.04987582564353943,tlhras26,
TPCA-1,6,18,0.23632492125034332,0.13804379002087647,0.36873751962905776,0.3743687112712198,tpca1,
TR-14035,6,18,0.05262624844908714,0.0,0.0,0.05262624844908714,tr14035,
Tacalcitol,6,18,0.10130967199802399,0.003885483933016884,0.036935958682013416,0.10519515593104087,tacalcitol,
Tamatinib,6,18,0.24329249560832977,0.04192479089316395,0.146992461107172,0.2852172865014937,tamatinib,
Tipifarnib,6,18,0.05750220641493797,0.0,0.0,0.05750220641493797,tipifarnib,
Tivantinib,6,18,0.06956958025693893,0.0,0.0,0.06956958025693893,tivantinib,
Tivozanib,6,18,0.0474952757358551,0.0,0.0,0.0474952757358551,tivozanib,
Topotecan,6,18,0.06498940289020538,0.0,0.0,0.06498940289020538,topotecan,
Tosedostat,6,18,0.08898945897817612,0.0,0.0,0.08898945897817612,tosedostat,
Trametinib,6,18,0.06938104331493378,0.0,0.0,0.06938104331493378,trametinib,MEK inhibitor
UNII-BXU45ZH6LI,6,12,0.9525865912437439,0.03215706177676717,0.03265526178120732,0.984743653020511,uniibxu45zh6li,
Vandetanib,6,18,0.0453006885945797,0.0,0.0,0.0453006885945797,vandetanib,Multi-TK inhibitor
Vanoxerine,6,18,0.05409670248627663,0.0,0.0,0.05409670248627663,vanoxerine,
Vardenafil,6,18,0.06298741698265076,0.0,0.0,0.06298741698265076,vardenafil,
Vorinostat,6,12,0.3057335317134857,0.022543145576491952,0.06867117628517619,0.32827667728997767,vorinostat,
YK 4-279,6,18,0.05933387577533722,0.0,0.0,0.05933387577533722,yk4279,
